sample-id	mmm.m	mmm.sd	plot	tag	species	treatment	nutrient	time	time.trt	time.trt.sp	combo	indiv	seq_depth	bleaching	per_bleach
May2016.67poc	28.5366871	0.031250527	2H	67	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_67	187	1	55
July2016.poc67	27.05674516	0.02117185	2H	67	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_67	999	0	0
Jan2017.poc67	29.10646774	0.064776697	2H	67	POC	C	control	T6	T6_C	T6_C_POC	POC_C_T12	POC_67	13415	0	0
Jan2016.acr68	28.70592	0.037590634	2H	68	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_C_T0	ACR_68	506	0	0
March2016.acr68	29.26056129	0.094100803	2H	68	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_68	2795	0	0
May2016.68acr	28.5366871	0.031250527	2H	68	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_68	2936	0	0
July2016.acr68	27.05674516	0.02117185	2H	68	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_68	934	0	0
Jan2017.acr68	29.10646774	0.064776697	2H	68	ACR	C	control	T6	T6_C	T6_C_ACR	ACR_C_T12	ACR_68	7035	0	0
Jan2016.acr76	28.70592	0.037590634	9	76	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_76	796	0	0
March2016.acr76	29.26056129	0.094100803	9	76	ACR	U	nutrient	T1	T1_U	T1_U_ACR	ACR_U_T3	ACR_76	3839	0	0
May2016.76acr	28.5366871	0.031250527	9	76	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_76	2472	1	15
July2016.acr76	27.05674516	0.02117185	9	76	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_76	1646	0	0
Jan2017.acr76	29.10646774	0.064776697	9	76	ACR	U	nutrient	T6	T6_U	T6_U_ACR	ACR_U_T12	ACR_76	2886	0	0
March2016.poc81	29.26056129	0.094100803	3H	81	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_81	177	0	0
May2016.81poc	28.5366871	0.031250527	3H	81	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_81	962	0	0
July2016.poc81	27.05674516	0.02117185	3H	81	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_81	1025	0	0
Jan2017.poc81	29.10646774	0.064776697	3H	81	POC	C	control	T6	T6_C	T6_C_POC	POC_C_T12	POC_81	379	0	0
March2016.acr82	29.26056129	0.094100803	3H	82	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_82	1698	0	0
May2016.82acr	28.5366871	0.031250527	3H	82	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_82	2559	0	0
July2016.acr82	27.05674516	0.02117185	3H	82	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_82	1236	0	0
Jan2017.acr82	29.10646774	0.064776697	3H	82	ACR	C	control	T6	T6_C	T6_C_ACR	ACR_C_T12	ACR_82	2733	0	0
Jan2016.acr84	28.70592	0.037590634	8	84	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_N_T0	ACR_84	70	0	0
March2016.acr84	29.26056129	0.094100803	8	84	ACR	N	nutrient	T1	T1_N	T1_N_ACR	ACR_N_T3	ACR_84	1219	0	0
May2016.84acr	28.5366871	0.031250527	8	84	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_84	2968	0	0
July2016.acr84	27.05674516	0.02117185	8	84	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_84	2022	0	0
Jan2017.acr84	29.10646774	0.064776697	8	84	ACR	N	nutrient	T6	T6_N	T6_N_ACR	ACR_N_T12	ACR_84	11143	0	0
Jan2016.acr88	28.70592	0.037590634	8	88	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_88	259	0	0
March2016.acr88	29.26056129	0.094100803	8	88	ACR	U	nutrient	T1	T1_U	T1_U_ACR	ACR_U_T3	ACR_88	1608	0	0
May2016.88acr	28.5366871	0.031250527	8	88	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_88	3666	1	3
July2016.acr88	27.05674516	0.02117185	8	88	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_88	148	0	0
Jan2017.acr88	29.10646774	0.064776697	8	88	ACR	U	nutrient	T6	T6_U	T6_U_ACR	ACR_U_T12	ACR_88	4518	0	0
Jan2016.acr90	28.70592	0.037590634	1H	90	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_C_T0	ACR_90	4716	0	0
March2016.acr90	29.26056129	0.094100803	1H	90	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_90	5020	0	0
May2016.90acr	28.5366871	0.031250527	1H	90	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_90	3430	0	0
July2016.acr90	27.05674516	0.02117185	1H	90	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_90	320	0	0
Jan2016.poc105	28.70592	0.037590634	1H	105	POC	C	control	T0	T0_C	T0_C_POC	POC_C_T0	POC_105	2751	0	0
March2016.poc105	29.26056129	0.094100803	1H	105	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_105	5061	0	0
